"","Producto","Cant","Unidad","Valor Unitario","Valor Total","IGV","Importe Total","TOTAL","Entrega Emision GRE"
"","JARABE DE MANZANA TASKY X 1 LITRO","8","BOTELLA","12.5","100","18","118","",""
"","JARABE DE GRANADA TASKY X 1 LITRO","9","BOTELLA","12.4","111.6","20.09","131.69","",""
"","JARABE DE GRANADINA TASKY X 1 LITRO","10","BOTELLA","10.5","105","18.9","123.9","",""
"","JARABE DE GOMA TASKY X 1 LITRO","8","BOTELLA","9.5","76","13.68","89.68","",""
"","JARABE DE GUAYABA TASKY X 1 LITRO","5","BOTELLA","12.5","62.5","11.25","73.75","",""
"","JARABE DE MANZANA TASKY X 1 LITRO","36","BOTELLA","9.87","355.32","63.96","419.28","S/419.28","5/3/2024"
"","JARABE DE BLUE CURACAO TASKY X 1 LITRO","12","BOTELLA","9.87","118.44","21.32","139.76","S/7,574.86","5/7/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","5","BOTELLA","9.87","49.35","8.88","58.23","","5/7/2024"
"","JARABE DE GRANADA TASKY X 1 LITRO","2","BOTELLA","9.87","19.74","3.55","23.29","","5/7/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","3","BOTELLA","14.7","44.1","7.94","52.04","","5/7/2024"
"","JARABE DE BLUE CURACAO TASKY X 1 LITRO","12","BOTELLA","9.87","118.44","21.32","139.76","","5/7/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","3","BOTELLA","9.87","29.61","5.33","34.94","","5/7/2024"
"","JARABE DE GUAYABA TASKY X 1 LITRO","6","BOTELLA","9.66","57.96","10.43","68.39","","5/7/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","12","BOTELLA","14.7","176.4","31.75","208.15","","5/7/2024"
"","PULPA CONGELADA DE LIMA X 8 UNID X 1 LITRO","2","CAJA","96","192","34.56","226.56","","5/7/2024"
"","JARABE DE BLUE CURACAO TASKY X 1 LITRO","12","BOTELLA","9.87","118.44","21.32","139.76","",""
"","JARABE DE GRANADINA TASKY X 1 LITRO","2","BOTELLA","8.61","17.22","3.1","20.32","",""
"","JARABE DE MANZANA TASKY X 1 LITRO","4","BOTELLA","9.87","39.48","7.11","46.59","",""
"","JARABE DE GUAYABA TASKY X 1 LITRO","4","BOTELLA","9.66","38.64","6.96","45.6","",""
"","JARABE DE GRANADA TASKY X 1 LITRO","2","BOTELLA","9.87","19.74","3.55","23.29","",""
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","4","BOTELLA","14.7","58.8","10.58","69.38","",""
"","JARABE DE BLUE CURACAO TASKY X 1 LITRO","6","BOTELLA","9.87","59.22","10.66","69.88","","5/7/2024"
"","JARABE DE GRANADINA TASKY X 1 LITRO","4","BOTELLA","8.61","34.44","6.2","40.64","","5/7/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","6","BOTELLA","9.87","59.22","10.66","69.88","","5/7/2024"
"","JARABE DE GUAYABA TASKY X 1 LITRO","12","BOTELLA","9.66","115.92","20.87","136.79","","5/7/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","6","BOTELLA","14.7","88.2","15.88","104.08","","5/7/2024"
"","PULPA CONGELADA DE LIMA X 8 UNID X 1 LITRO","3","CAJA","96","288","51.84","339.84","","5/7/2024"
"","JARABE DE BLUE CURACAO TASKY X 1 LITRO","12","BOTELLA","9.87","118.44","21.32","139.76","",""
"","JARABE DE GRANADINA TASKY X 1 LITRO","5","BOTELLA","8.61","43.05","7.75","50.8","",""
"","JARABE DE MANZANA TASKY X 1 LITRO","6","BOTELLA","9.87","59.22","10.66","69.88","",""
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","6","BOTELLA","14.7","88.2","15.88","104.08","",""
"","PULPA CONGELADA DE LIMA X 8 UNID X 1 LITRO","2","CAJA","96","192","34.56","226.56","","5/7/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","6","BOTELLA","9.87","59.22","10.66","69.88","","5/7/2024"
"","JARABE DE GRANADA TASKY X 1 LITRO","3","BOTELLA","9.87","29.61","5.33","34.94","","5/7/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","2","BOTELLA","14.7","29.4","5.29","34.69","","5/7/2024"
"","PULPA CONGELADA DE LIMA X 8 UNID X 1 LITRO","1","CAJA","96","96","17.28","113.28","","5/7/2024"
"","JARABE DE BLUE CURACAO TASKY X 1 LITRO","6","BOTELLA","9.87","59.22","10.66","69.88","",""
"","JARABE DE MANZANA TASKY X 1 LITRO","6","BOTELLA","9.87","59.22","10.66","69.88","",""
"","JARABE DE GUAYABA TASKY X 1 LITRO","6","BOTELLA","9.66","57.96","10.43","68.39","",""
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","12","BOTELLA","14.7","176.4","31.75","208.15","",""
"","JARABE DE GRANADINA TASKY X 1 LITRO","2","BOTELLA","8.61","17.22","3.1","20.32","","5/7/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","10","BOTELLA","9.87","98.7","17.77","116.47","","5/7/2024"
"","JARABE DE GUAYABA TASKY X 1 LITRO","4","BOTELLA","9.66","38.64","6.96","45.6","","5/7/2024"
"","JARABE DE GRANADA TASKY X 1 LITRO","3","BOTELLA","9.87","29.61","5.33","34.94","","5/7/2024"
"","PULPA CONGELADA DE LIMA X 8 UNID X 1 LITRO","2","CAJA","96","192","34.56","226.56","","5/7/2024"
"","JARABE DE BLUE CURACAO TASKY X 1 LITRO","12","BOTELLA","9.87","118.44","21.32","139.76","",""
"","JARABE DE GRANADINA TASKY X 1 LITRO","6","BOTELLA","8.61","51.66","9.3","60.96","",""
"","JARABE DE MANZANA TASKY X 1 LITRO","12","BOTELLA","9.87","118.44","21.32","139.76","",""
"","JARABE DE GUAYABA TASKY X 1 LITRO","6","BOTELLA","9.66","57.96","10.43","68.39","",""
"","JARABE DE GRANADA TASKY X 1 LITRO","6","BOTELLA","9.87","59.22","10.66","69.88","",""
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","12","BOTELLA","14.7","176.4","31.75","208.15","",""
"","PULPA CONGELADA DE LIMA X 8 UNID X 1 LITRO","4","CAJA","96","384","69.12","453.12","",""
"","JARABE DE GRANADINA TASKY X 1 LITRO","3","BOTELLA","8.61","25.83","4.65","30.48","","5/7/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","6","BOTELLA","9.87","59.22","10.66","69.88","","5/7/2024"
"","JARABE DE GUAYABA TASKY X 1 LITRO","6","BOTELLA","9.66","57.96","10.43","68.39","","5/7/2024"
"","PULPA CONGELADA DE LIMA X 8 UNID X 1 LITRO","4","CAJA","96","384","69.12","453.12","","5/7/2024"
"","JARABE DE BLUE CURACAO TASKY X 1 LITRO","12","BOTELLA","9.87","118.44","21.32","139.76","","5/7/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","6","BOTELLA","9.87","59.22","10.66","69.88","","5/7/2024"
"","JARABE DE GUAYABA TASKY X 1 LITRO","6","BOTELLA","9.66","57.96","10.43","68.39","","5/7/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","8","BOTELLA","14.7","117.6","21.17","138.77","","5/7/2024"
"","PULPA CONGELADA DE LIMA X 8 UNID X 1 LITRO","2","CAJA","96","192","34.56","226.56","","5/7/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","4","BOTELLA","9.87","39.48","7.11","46.59","","5/7/2024"
"","JARABE DE GUAYABA TASKY X 1 LITRO","4","BOTELLA","9.66","38.64","6.96","45.6","","5/7/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","4","BOTELLA","14.7","58.8","10.58","69.38","","5/7/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","3","BOTELLA","9.87","29.61","5.33","34.94","","5/7/2024"
"","JARABE DE GRANADA TASKY X 1 LITRO","2","BOTELLA","9.87","19.74","3.55","23.29","","5/7/2024"
"","PULPA CONGELADA DE LIMA X 8 UNID X 1 LITRO","1","CAJA","96","96","17.28","113.28","","5/7/2024"
"","JARABE DE GRANADINA TASKY X 1 LITRO","3","BOTELLA","8.61","25.83","4.65","30.48","","5/7/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","3","BOTELLA","9.87","29.61","5.33","34.94","","5/7/2024"
"","JARABE DE GUAYABA TASKY X 1 LITRO","3","BOTELLA","9.66","28.98","5.22","34.2","","5/7/2024"
"","JARABE DE BLUE CURACAO TASKY X 1 LITRO","12","BOTELLA","9.87","118.44","21.32","139.76","","5/7/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","10","BOTELLA","9.87","98.7","17.77","116.47","","5/7/2024"
"","JARABE DE GUAYABA TASKY X 1 LITRO","14","BOTELLA","9.66","135.24","24.34","159.58","","5/7/2024"
"","JARABE DE GRANADA TASKY X 1 LITRO","4","BOTELLA","9.87","39.48","7.11","46.59","","5/7/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","10","BOTELLA","14.7","147","26.46","173.46","","5/7/2024"
"","PULPA CONGELADA DE LIMA X 8 UNID X 1 LITRO","3","CAJA","96","288","51.84","339.84","","5/7/2024"
"","PULPA CONGELADA DE LIMA X 8 UNID X 1 LITRO","10","CAJA","96","960","172.8","1,132.80","S/1,132.80","5/7/2024"
"","PULPA DE MARACUYA X 8 UNID X 1 KG","6","CAJA","92","552","99.36","651.36","S/651.36","5/8/2024"
"","ZUMO DE LIMON CONGELADO X 1 LITRO","1","BOLSA","","","","","","5/8/2024"
"","PULPA DE MARACUYA X 8 UNID X 1 KG","2","CAJA","92","184","33.12","217.12","S/376.42","5/8/2024"
"","RELLENO DE FRESA X 3 UNID X 5 KG","1","CAJA","135","135","24.3","159.3","","5/8/2024"
"","MERMELADA DE FRESA TASKY X 20KG","2","BALDES","118","236","42.48","278.48","S/278.48","5/9/2024"
"","PULPA DE MARACUYA X 8 UNID X 1 KG","4","CAJA","76","304","54.72","358.72","S/896.80","5/13/2024"
"","ZUMO DE LIMON CONGELADO X 8 UNID X 1 LITRO","6","CAJA","76","456","82.08","538.08","","5/13/2024"
"","COMPOTA DE ARANDANOS BALDE X 5 KG","2","BALDES","61.5","123","22.14","145.14","S/355.84",""
"","COMPOTA DE FRESA BALDE X 4.8 KG","4","BALDES","44.64","178.56","32.14","210.7","",""
"","COMPOTA DE ARANDANOS BALDE X 5 KG","2","BALDES","61.5","123","22.14","145.14","S/355.84",""
"","COMPOTA DE FRESA BALDE X 4.8 KG","4","BALDES","44.64","178.56","32.14","210.7","",""
"","JARABE DE MANZANA TASKY X 1 LITRO","3","BOTELLA","9.87","29.61","5.33","34.94","S/5,773.70","5/14/2024"
"","JARABE DE GUAYABA TASKY X 1 LITRO","3","BOTELLA","9.66","28.98","5.22","34.2","","5/14/2024"
"","JARABE DE GRANADA TASKY X 1 LITRO","3","BOTELLA","9.87","29.61","5.33","34.94","","5/14/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","3","BOTELLA","14.7","44.1","7.94","52.04","","5/14/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","6","BOTELLA","9.87","59.22","10.66","69.88","","5/14/2024"
"","JARABE DE GUAYABA TASKY X 1 LITRO","3","BOTELLA","9.66","28.98","5.22","34.2","","5/14/2024"
"","JARABE DE GRANADA TASKY X 1 LITRO","2","BOTELLA","9.87","19.74","3.55","23.29","","5/14/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","6","BOTELLA","14.7","88.2","15.88","104.08","","5/14/2024"
"","PULPA CONGELADA DE LIMA X 8 UNID X 1 LITRO","3","CAJA","96","288","51.84","339.84","","5/14/2024"
"","JARABE DE BLUE CURACAO TASKY X 1 LITRO","24","BOTELLA","9.87","236.88","42.64","279.52","","5/14/2024"
"","JARABE DE GRANADINA TASKY X 1 LITRO","2","BOTELLA","8.61","17.22","3.1","20.32","","5/14/2024"
"","JARABE DE GRANADA TASKY X 1 LITRO","1","BOTELLA","9.87","9.87","1.78","11.65","","5/14/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","2","BOTELLA","14.7","29.4","5.29","34.69","","5/14/2024"
"","JARABE DE BLUE CURACAO TASKY X 1 LITRO","6","BOTELLA","9.87","59.22","10.66","69.88","","5/14/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","6","BOTELLA","9.87","59.22","10.66","69.88","","5/14/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","6","BOTELLA","14.7","88.2","15.88","104.08","","5/14/2024"
"","PULPA CONGELADA DE LIMA X 8 UNID X 1 LITRO","2","CAJA","96","192","34.56","226.56","","5/14/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","12","BOTELLA","9.87","118.44","21.32","139.76","","5/14/2024"
"","JARABE DE GRANADA TASKY X 1 LITRO","1","BOTELLA","9.87","9.87","1.78","11.65","","5/14/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","10","BOTELLA","14.7","147","26.46","173.46","","5/14/2024"
"","PULPA CONGELADA DE LIMA X 8 UNID X 1 LITRO","2","CAJA","96","192","34.56","226.56","","5/14/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","6","BOTELLA","9.87","59.22","10.66","69.88","","5/14/2024"
"","JARABE DE GRANADA TASKY X 1 LITRO","2","BOTELLA","9.87","19.74","3.55","23.29","","5/14/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","2","BOTELLA","14.7","29.4","5.29","34.69","","5/14/2024"
"","PULPA CONGELADA DE LIMA X 8 UNID X 1 LITRO","1","CAJA","96","96","17.28","113.28","","5/14/2024"
"","JARABE DE GRANADINA TASKY X 1 LITRO","6","BOTELLA","8.61","51.66","9.3","60.96","","5/14/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","3","BOTELLA","9.87","29.61","5.33","34.94","","5/14/2024"
"","JARABE DE GRANADA TASKY X 1 LITRO","6","BOTELLA","9.87","59.22","10.66","69.88","","5/14/2024"
"","PULPA CONGELADA DE LIMA X 8 UNID X 1 LITRO","4","CAJA","96","384","69.12","453.12","","5/14/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","4","BOTELLA","9.87","39.48","7.11","46.59","","5/14/2024"
"","JARABE DE GRANADA TASKY X 1 LITRO","2","BOTELLA","9.87","19.74","3.55","23.29","","5/14/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","8","BOTELLA","14.7","117.6","21.17","138.77","","5/14/2024"
"","JARABE DE BLUE CURACAO TASKY X 1 LITRO","12","BOTELLA","9.87","118.44","21.32","139.76","","5/14/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","6","BOTELLA","14.7","88.2","15.88","104.08","","5/14/2024"
"","PULPA CONGELADA DE LIMA X 8 UNID X 1 LITRO","1","CAJA","96","96","17.28","113.28","","5/14/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","4","BOTELLA","9.87","39.48","7.11","46.59","","5/14/2024"
"","JARABE DE GUAYABA TASKY X 1 LITRO","6","BOTELLA","9.66","57.96","10.43","68.39","","5/14/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","6","BOTELLA","14.7","88.2","15.88","104.08","","5/14/2024"
"","PULPA CONGELADA DE LIMA X 8 UNID X 1 LITRO","2","CAJA","96","192","34.56","226.56","","5/14/2024"
"","JARABE DE BLUE CURACAO TASKY X 1 LITRO","12","BOTELLA","9.87","118.44","21.32","139.76","","5/14/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","5","BOTELLA","9.87","49.35","8.88","58.23","","5/14/2024"
"","JARABE DE GUAYABA TASKY X 1 LITRO","6","BOTELLA","9.66","57.96","10.43","68.39","","5/14/2024"
"","JARABE DE GRANADA TASKY X 1 LITRO","4","BOTELLA","9.87","39.48","7.11","46.59","","5/14/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","6","BOTELLA","14.7","88.2","15.88","104.08","","5/14/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","3","BOTELLA","9.87","29.61","5.33","34.94","","5/14/2024"
"","JARABE DE BLUE CURACAO TASKY X 1 LITRO","12","BOTELLA","9.87","118.44","21.32","139.76","","5/14/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","6","BOTELLA","9.87","59.22","10.66","69.88","","5/14/2024"
"","JARABE DE GUAYABA TASKY X 1 LITRO","2","BOTELLA","9.66","19.32","3.48","22.8","","5/14/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","6","BOTELLA","14.7","88.2","15.88","104.08","","5/14/2024"
"","JARABE DE BLUE CURACAO TASKY X 1 LITRO","12","BOTELLA","9.87","118.44","21.32","139.76","","5/14/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","6","BOTELLA","9.87","59.22","10.66","69.88","","5/14/2024"
"","JARABE DE GUAYABA TASKY X 1 LITRO","6","BOTELLA","9.66","57.96","10.43","68.39","","5/14/2024"
"","JARABE DE GRANADA TASKY X 1 LITRO","6","BOTELLA","9.87","59.22","10.66","69.88","","5/14/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","6","BOTELLA","14.7","88.2","15.88","104.08","","5/14/2024"
"","PULPA CONGELADA DE LIMA X 8 UNID X 1 LITRO","5","CAJA","96","480","86.4","566.4","","5/14/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","9","BOTELLA","16","144","25.92","169.92","S/647.94","5/17/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","8","BOTELLA","12.5","100","18","118","","5/17/2024"
"","JARABE DE GRANADA TASKY X 1 LITRO","9","BOTELLA","12.4","111.6","20.09","131.69","","5/17/2024"
"","JARABE DE GRANADINA TASKY X 1 LITRO","7","BOTELLA","10.5","73.5","13.23","86.73","","5/17/2024"
"","JARABE DE GOMA TASKY X 1 LITRO","10","BOTELLA","9.5","95","17.1","112.1","","5/17/2024"
"","JARABE DE GUAYABA TASKY X 1 LITRO","2","BOTELLA","12.5","25","4.5","29.5","","5/17/2024"
"","ZUMO DE LIMON CONGELADO X 8 UNID X 1 LITRO","55","BOLSAS","11","605","108.9","713.9","S/713.90","5/17/2024"
"","ZUMO DE LIMON CONGELADO X 8 UNID X 1 LITRO","7","CAJA","80","560","100.8","660.8","S/660.80","5/17/2024"
"","JARABE DE GUAYABA TASKY X 1 LITRO","3","BOTELLA","9.66","28.98","5.22","34.2","S/3,837.96","5/24/2024"
"","PULPA CONGELADA DE LIMA X 8 UNID X 1 LITRO","2","CAJA","96","192","34.56","226.56","","5/24/2024"
"","JARABE DE BLUE CURACAO TASKY X 1 LITRO","12","BOTELLA","9.87","118.44","21.32","139.76","","5/22/2024"
"","JARABE DE GRANADINA TASKY X 1 LITRO","3","BOTELLA","8.61","25.83","4.65","30.48","","5/22/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","9","BOTELLA","9.87","88.83","15.99","104.82","","5/22/2024"
"","JARABE DE GUAYABA TASKY X 1 LITRO","6","BOTELLA","9.66","57.96","10.43","68.39","","5/22/2024"
"","JARABE DE GRANADA TASKY X 1 LITRO","6","BOTELLA","9.87","59.22","10.66","69.88","","5/22/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","9","BOTELLA","14.7","132.3","23.81","156.11","","5/22/2024"
"","JARABE DE GRANADA TASKY X 1 LITRO","2","BOTELLA","9.87","19.74","3.55","23.29","","5/22/2024"
"","JARABE DE BLUE CURACAO TASKY X 1 LITRO","12","BOTELLA","9.87","118.44","21.32","139.76","","5/23/2024"
"","JARABE DE GRANADINA TASKY X 1 LITRO","3","BOTELLA","8.61","25.83","4.65","30.48","","5/23/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","3","BOTELLA","9.87","29.61","5.33","34.94","","5/23/2024"
"","JARABE DE GUAYABA TASKY X 1 LITRO","6","BOTELLA","9.66","57.96","10.43","68.39","","5/23/2024"
"","JARABE DE GRANADA TASKY X 1 LITRO","3","BOTELLA","9.87","29.61","5.33","34.94","","5/23/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","12","BOTELLA","14.7","176.4","31.75","208.15","","5/23/2024"
"","JARABE DE GRANADA TASKY X 1 LITRO","3","BOTELLA","9.87","29.61","5.33","34.94","","5/22/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","3","BOTELLA","9.87","29.61","5.33","34.94","","5/22/2024"
"","JARABE DE GUAYABA TASKY X 1 LITRO","3","BOTELLA","9.66","28.98","5.22","34.2","","5/22/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","6","BOTELLA","14.7","88.2","15.88","104.08","","5/22/2024"
"","PULPA CONGELADA DE LIMA X 8 UNID X 1 LITRO","1","CAJA","96","96","17.28","113.28","","5/22/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","3","BOTELLA","9.87","29.61","5.33","34.94","","5/22/2024"
"","PULPA CONGELADA DE LIMA X 8 UNID X 1 LITRO","3","CAJA","96","288","51.84","339.84","","5/22/2024"
"","JARABE DE GRANADINA TASKY X 1 LITRO","2","BOTELLA","8.61","17.22","3.1","20.32","","5/23/2024"
"","JARABE DE GRANADA TASKY X 1 LITRO","2","BOTELLA","9.87","19.74","3.55","23.29","","5/23/2024"
"","JARABE DE BLUE CURACAO TASKY X 1 LITRO","12","BOTELLA","9.87","118.44","21.32","139.76","","5/22/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","10","BOTELLA","9.87","98.7","17.77","116.47","","5/22/2024"
"","JARABE DE GUAYABA TASKY X 1 LITRO","6","BOTELLA","9.66","57.96","10.43","68.39","","5/22/2024"
"","JARABE DE GRANADA TASKY X 1 LITRO","5","BOTELLA","9.87","49.35","8.88","58.23","","5/22/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","6","BOTELLA","14.7","88.2","15.88","104.08","","5/22/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","2","BOTELLA","9.87","19.74","3.55","23.29","","5/22/2024"
"","JARABE DE GRANADA TASKY X 1 LITRO","2","BOTELLA","9.87","19.74","3.55","23.29","","5/22/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","6","BOTELLA","9.87","59.22","10.66","69.88","","5/24/2024"
"","JARABE DE GUAYABA TASKY X 1 LITRO","6","BOTELLA","9.66","57.96","10.43","68.39","","5/24/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","6","BOTELLA","14.7","88.2","15.88","104.08","","5/24/2024"
"","PULPA CONGELADA DE LIMA X 8 UNID X 1 LITRO","1","CAJA","96","96","17.28","113.28","","5/24/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","3","BOTELLA","9.87","29.61","5.33","34.94","","5/22/2024"
"","JARABE DE GRANADA TASKY X 1 LITRO","2","BOTELLA","9.87","19.74","3.55","23.29","","5/22/2024"
"","JARABE DE BLUE CURACAO TASKY X 1 LITRO","12","BOTELLA","9.87","118.44","21.32","139.76","","5/23/2024"
"","JARABE DE GUAYABA TASKY X 1 LITRO","6","BOTELLA","9.66","57.96","10.43","68.39","","5/23/2024"
"","JARABE DE GRANADA TASKY X 1 LITRO","3","BOTELLA","9.87","29.61","5.33","34.94","","5/23/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","6","BOTELLA","14.7","88.2","15.88","104.08","","5/23/2024"
"","PULPA CONGELADA DE LIMA X 8 UNID X 1 LITRO","1","CAJA","96","96","17.28","113.28","","5/23/2024"
"","JARABE DE GRANADINA TASKY X 1 LITRO","2","BOTELLA","8.61","17.22","3.1","20.32","","5/24/2024"
"","JARABE DE GUAYABA TASKY X 1 LITRO","3","BOTELLA","9.66","28.98","5.22","34.2","","5/24/2024"
"","JARABE DE GRANADA TASKY X 1 LITRO","2","BOTELLA","9.87","19.74","3.55","23.29","","5/24/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","6","BOTELLA","9.87","59.22","10.66","69.88","","5/22/2024"
"","JARABE DE GUAYABA TASKY X 1 LITRO","6","BOTELLA","9.66","57.96","10.43","68.39","","5/22/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","6","BOTELLA","14.7","88.2","15.88","104.08","","5/22/2024"
"","PULPA CONGELADA DE LIMA X 8 UNID X 1 LITRO","6","CAJA","96","576","103.68","679.68","S/679.68","5/23/2024"
"","PULPA DE LIMON CONGELADA X 1 UNID X 5 KG","298","BOLSA","50","14,900.00","2,682.00","17,582.00","S/17,582.00","5/16/2024"
"","PULPA DE LIMON CONGELADA X 1 UNID X 5 KG","777","BOLSA","50","38,850.00","6,993.00","45,843.00","S/45,843.00","5/16/2024"
"","PULPA DE LIMON CONGELADA X 8 UNID X 1 KG","75","CAJA","80","6,000.00","1,080.00","7,080.00","S/7,080.00","5/16/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","5","BOTELLA","16","80","14.4","94.4","S/353.65",""
"","JARABE DE MANZANA TASKY X 1 LITRO","4","BOTELLA","12.5","50","9","59","",""
"","JARABE DE GRANADA TASKY X 1 LITRO","3","BOTELLA","12.4","37.2","6.7","43.9","",""
"","JARABE DE GRANADINA TASKY X 1 LITRO","9","BOTELLA","10.5","94.5","17.01","111.51","",""
"","JARABE DE GOMA TASKY X 1 LITRO","4","BOTELLA","9.5","38","6.84","44.84","",""
"","PULPA CONGELADA DE LIMA X 8 UNID X 1 LITRO","10","CAJA","96","960","172.8","1,132.80","S/1,132.80","5/29/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","24","BOTELLA","9.87","236.88","42.64","279.52","S/401.44","5/29/2024"
"","JARABE DE GRANADINA TASKY X 1 LITRO","12","BOTELLA","8.61","103.32","18.6","121.92","","5/29/2024"
"","PULPA CONGELADA DE LIMA X 8 UNID X 1 LITRO","1","CAJA","96","96","17.28","113.28","S/1,638.88","5/29/2024"
"","JARABE DE BLUE CURACAO TASKY X 1 LITRO","12","BOTELLA","9.87","118.44","21.32","139.76","","5/29/2024"
"","PULPA CONGELADA DE LIMA X 8 UNID X 1 LITRO","3","CAJA","96","288","51.84","339.84","","5/29/2024"
"","PULPA CONGELADA DE LIMA X 8 UNID X 1 LITRO","1","CAJA","96","96","17.28","113.28","","5/29/2024"
"","JARABE DE BLUE CURACAO TASKY X 1 LITRO","12","BOTELLA","9.87","118.44","21.32","139.76","","5/29/2024"
"","PULPA CONGELADA DE LIMA X 8 UNID X 1 LITRO","2","CAJA","96","192","34.56","226.56","","5/29/2024"
"","PULPA CONGELADA DE LIMA X 8 UNID X 1 LITRO","2","CAJA","96","192","34.56","226.56","","5/29/2024"
"","PULPA CONGELADA DE LIMA X 8 UNID X 1 LITRO","3","CAJA","96","288","51.84","339.84","","5/29/2024"
"","PULPA DE LIMON CONGELADA X 8 UNID X 1 KG","75","CAJA","80","6,000.00","1,080.00","7,080.00","S/8,307.20","5/30/2024"
"","PULPA DE LIMON CONGELADA X 8 UNID X 1 KG","13","CAJA","80","1,040.00","187.2","1,227.20","","5/30/2024"
"","PULPA DE LIMON CONGELADA X 1 UNID X 5 KG","330","BOLSA","50","16,500.00","2,970.00","19,470.00","S/19,470.00","6/6/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","4","BOTELLA","14","56","10.08","66.08","S/66.08","6/3/2024"
"","ZUMO DE LIMON CONGELADO X 8 UNID X 1 LITRO","20","CAJA","96","1,920.00","345.6","2,265.60","S/2,265.60","6/4/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","3","BOTELLA","9.87","29.61","5.33","34.94","S/3,917.22","6/6/2024"
"","PULPA CONGELADA DE LIMA X 8 UNID X 1 LITRO","1","CAJA","96","96","17.28","113.28","","6/6/2024"
"","JARABE DE BLUE CURACAO TASKY X 1 LITRO","12","BOTELLA","9.87","118.44","21.32","139.76","","6/5/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","9","BOTELLA","9.87","88.83","15.99","104.82","","6/5/2024"
