"","Producto","Cant","Unidad","Valor Unitario","Valor Total","IGV","Importe Total","TOTAL","Entrega Emision GRE"
"","PULPA CONGELADA DE LIMA X 8 UNID X 1 LITRO","1","CAJA","96","96","17.28","113.28","","3/22/2024"
"","JARABE DE GRANADINA TASKY X 1 LITRO","2","BOTELLA","8.61","17.22","3.1","20.32","","3/19/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","6","BOTELLA","14.7","88.2","15.88","104.08","","3/20/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","3","BOTELLA","14.7","44.1","7.94","52.04","","3/20/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","3","BOTELLA","9.87","29.61","5.33","34.94","","3/20/2024"
"","JARABE DE BLUE CURACAO TASKY X 1 LITRO","12","BOTELLA","9.87","118.44","21.32","139.76","","3/20/2024"
"","JARABE DE GRANADINA TASKY X 1 LITRO","3","BOTELLA","8.61","25.83","4.65","30.48","","3/19/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","15","BOTELLA","9.87","148.05","26.65","174.7","","3/19/2024"
"","JARABE DE GUAYABA TASKY X 1 LITRO","6","BOTELLA","9.66","57.96","10.43","68.39","","3/19/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","6","BOTELLA","14.7","88.2","15.88","104.08","","3/19/2024"
"","PULPA CONGELADA DE LIMA X 8 UNID X 1 LITRO","3","CAJA","96","288","51.84","339.84","","3/19/2024"
"","JARABE DE GRANADINA TASKY X 1 LITRO","3","BOTELLA","8.61","25.83","4.65","30.48","S/6,935.25","3/26/2024"
"","JARABE DE GUAYABA TASKY X 1 LITRO","6","BOTELLA","9.66","57.96","10.43","68.39","","3/26/2024"
"","JARABE DE BLUE CURACAO TASKY X 1 LITRO","12","BOTELLA","9.87","118.44","21.32","139.76","","3/26/2024"
"","JARABE DE FRAMBUESA TASKY X 1 LITRO","4","BOTELLA","14.7","58.8","10.58","69.38","","3/26/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","6","BOTELLA","9.87","59.22","10.66","69.88","","3/26/2024"
"","JARABE DE BLUE CURACAO TASKY X 1 LITRO","12","BOTELLA","9.87","118.44","21.32","139.76","","3/26/2024"
"","PULPA CONGELADA DE LIMA X 8 UNID X 1 LITRO","2","CAJA","96","192","34.56","226.56","","3/26/2024"
"","JARABE DE GUAYABA TASKY X 1 LITRO","6","BOTELLA","9.66","57.96","10.43","68.39","","3/26/2024"
"","JARABE DE GRANADA TASKY X 1 LITRO","6","BOTELLA","9.87","59.22","10.66","69.88","","3/26/2024"
"","JARABE DE MANZANA TASKY X 1 LITRO","9","BOTELLA","9.87","88.83","15.99","104.82","","3/26/2024"
